,Teachings,Period,Professor,Course,Anno,Sede,CAMPUS,PDS_COD,room_size,Partition,k,grappolo,qualifica,k,Course_ID
56,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 2C_LT40_A-C,II Semestre,12384981,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),SCI,5,A-C,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_SCI2
57,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 2A_LT40_D-L,II Semestre,12384981,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),SCI,5,D-L,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_SCI2
58,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 1A_LT40_A-C,I Semestre,12384981,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),SCI,5,A-C,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_SCI2
59,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 1C_LT40_A-C,I Semestre,12384981,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),C,5,A-C,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_C1
60,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 1A_LT40_D-L,I Semestre,12384981,LT40,1,VENEZIA,Polo didattico San Basilio (Architettura temporanea),C,3,D-L,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_C1
61,ESERCITAZIONI DI LINGUA CINESE 2 MOD.2A_LT40_Tutti,II Semestre,12384981,LT40,2,VENEZIA,Polo didattico San Basilio (Architettura temporanea),SEA,5,Tutti,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_SEA2
62,ESERCITAZIONI DI LINGUA CINESE 2 MOD.2A_LT40_S-Z,II Semestre,12384981,LT40,3,VENEZIA,Polo didattico San Basilio (Architettura temporanea),SCI,5,S-Z,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_SCI3
63,ESERCITAZIONI DI LINGUA CINESE 2 MOD.1A_LT40_S-Z,I Semestre,12384981,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),C,5,S-Z,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_C2
64,ESERCITAZIONI DI LINGUA CINESE 2 MOD.1A_LT40_Tutti,I Semestre,12384981,LT40,2,,Polo didattico San Basilio (Magazzino 5),SEA,5,Tutti,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_SEA2
65,LINGUA CINESE 1 MOD. 2_LT40_M-R,II Semestre,10801543,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),C,5,M-R,3,Obbligatorio,Professoressa Associata,,LT40_C1
66,LINGUA CINESE 1 MOD. 2_LT40_S-Z,II Semestre,10801543,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),C,5,S-Z,3,Obbligatorio,Professoressa Associata,,LT40_C1
67,LINGUA CINESE 1 MOD. 2_LT40_Tutti,II Semestre,10801543,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),SEA,5,Tutti,3,Obbligatorio,Professoressa Associata,,LT40_SEA1
68,LINGUA CINESE 2 MOD.2_LT40_M-R,II Semestre,10801543,LT40,3,VENEZIA,Polo didattico San Basilio (Architettura temporanea),SCI,5,M-R,3,a scelta,Professoressa Associata,,LT40_SCI3
69,LINGUISTICA CINESE_LM70,II Semestre,10801543,LM70,1,TREVISO,Treviso - Palazzo San Paolo,C,3,NO,3,a scelta,Professoressa Associata,,LM70_C1
70,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 2A_LT40_Tutti,II Semestre,11347282,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),SEA,5,Tutti,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_SEA1
71,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 2A_LT40_S-Z,II Semestre,11347282,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),C,5,S-Z,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_C1
72,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 2A_LT40_M-R,II Semestre,11347282,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),SCI,5,M-R,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_SCI2
73,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 1C_LT40_Tutti,I Semestre,11347282,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),SEA,5,Tutti,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_SEA1
74,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 1C_LT40_S-Z,I Semestre,11347282,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),SCI,5,S-Z,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_SCI2
75,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 1C_LT40_M-R,I Semestre,11347282,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),C,5,M-R,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_C1
76,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 1A_LT40_M-R,I Semestre,11347282,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),C,5,M-R,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_C1
